"Number","Method","Time","Count","SelfTime"
"132","org.codehaus.plexus.interpolation.StringSearchInterpolator.setCacheAnswers (Z)V","3","1","3"
"133","org.codehaus.plexus.interpolation.PrefixAwareRecursionInterceptor.<init> (Ljava/util/Collection;)V","52","1","52"
"134","org.apache.maven.model.interpolation.AbstractStringBasedModelInterpolator.<clinit> ()V","49","1","29"
"135","java.util.Collection.add (Ljava/lang/Object;)Z","8","7","8"
"136","java.util.HashSet.<init> ()V","5","1","5"
"137","org.apache.maven.model.interpolation.StringSearchModelInterpolator.<clinit> ()V","17","1","7"
"138","java.util.concurrent.ConcurrentHashMap.<init> (IFI)V","10","1","10"
"139","org.apache.maven.model.building.DefaultModelBuilderFactory.newUrlNormalizer ()Lorg/apache/maven/model/path/UrlNormalizer;","676","2","664"
"140","org.apache.maven.model.path.DefaultUrlNormalizer.<init> ()V","12","2","12"
"141","org.apache.maven.model.interpolation.AbstractStringBasedModelInterpolator.setPathTranslator (Lorg/apache/maven/model/path/PathTranslator;)Lorg/apache/maven/model/interpolation/AbstractStringBasedModelInterpolator;","2","1","2"
"142","org.apache.maven.model.interpolation.AbstractStringBasedModelInterpolator.setUrlNormalizer (Lorg/apache/maven/model/path/UrlNormalizer;)Lorg/apache/maven/model/interpolation/AbstractStringBasedModelInterpolator;","1","1","1"
"143","org.apache.maven.model.building.DefaultModelBuilderFactory.newReportingConverter ()Lorg/apache/maven/model/plugin/ReportingConverter;","4695","1","1997"
"144","org.apache.maven.model.plugin.DefaultReportingConverter.<init> ()V","2698","1","2529"
"145","java.lang.Class.getPackage ()Ljava/lang/Package;","27","1","27"
"146","java.lang.Package.getImplementationVersion ()Ljava/lang/String;","20","1","20"
"147","org.apache.maven.model.InputLocation.setLocation (Ljava/lang/Object;Lorg/apache/maven/model/InputLocation;)V","20","1","9"
"148","java.util.Map.put (Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;","7","1","7"
"149","java.util.LinkedHashMap.<init> ()V","8","2","8"
"150","org.apache.maven.model.InputLocation.<init> (IILorg/apache/maven/model/InputSource;)V","14","1","14"
"151","java.lang.Integer.valueOf (I)Ljava/lang/Integer;","8","1","8"
"152","org.apache.maven.model.InputSource.<init> ()V","8","1","8"
"153","org.apache.maven.model.InputSource.setModelId (Ljava/lang/String;)V","4","1","4"
"154","java.lang.Object.getClass ()Ljava/lang/Class;","3","1","3"
"155","org.apache.maven.model.building.DefaultModelBuilderFactory.newInheritanceAssembler ()Lorg/apache/maven/model/inheritance/InheritanceAssembler;","3425","1","995"
"156","org.apache.maven.model.inheritance.DefaultInheritanceAssembler.<init> ()V","2430","1","2413"
"157","org.apache.maven.model.inheritance.DefaultInheritanceAssembler$InheritanceModelMerger.<init> ()V","17","1","7"
"158","org.apache.maven.model.building.DefaultModelBuilderFactory.newModelProcessor ()Lorg/apache/maven/model/building/ModelProcessor;","3382","2","861"
"159","org.apache.maven.model.building.DefaultModelBuilderFactory.newModelReader ()Lorg/apache/maven/model/io/ModelReader;","1701","2","1690"
"160","org.apache.maven.model.io.DefaultModelReader.<init> ()V","11","2","11"
"161","org.apache.maven.model.building.DefaultModelBuilderFactory.newModelLocator ()Lorg/apache/maven/model/locator/ModelLocator;","798","2","787"
"162","org.apache.maven.model.locator.DefaultModelLocator.<init> ()V","11","2","11"
"163","org.apache.maven.model.building.DefaultModelProcessor.<init> ()V","15","2","15"
"164","org.apache.maven.model.building.DefaultModelProcessor.setModelLocator (Lorg/apache/maven/model/locator/ModelLocator;)Lorg/apache/maven/model/building/DefaultModelProcessor;","4","1","4"
"165","org.apache.maven.model.building.DefaultModelProcessor.setModelReader (Lorg/apache/maven/model/io/ModelReader;)Lorg/apache/maven/model/building/DefaultModelProcessor;","3","1","3"
"166","org.apache.maven.model.building.DefaultModelBuilderFactory.newProfileInjector ()Lorg/apache/maven/model/profile/ProfileInjector;","2723","1","749"
"167","org.apache.maven.model.profile.DefaultProfileInjector.<init> ()V","1974","1","1958"
"168","org.apache.maven.model.profile.DefaultProfileInjector$ProfileModelMerger.<init> ()V","16","1","9"
"169","org.apache.maven.model.building.DefaultModelBuilderFactory.newModelPathTranslator ()Lorg/apache/maven/model/path/ModelPathTranslator;","2054","1","1316"
"170","org.apache.maven.model.path.DefaultModelPathTranslator.<init> ()V","10","1","10"
"171","org.apache.maven.model.path.DefaultModelPathTranslator.setPathTranslator (Lorg/apache/maven/model/path/PathTranslator;)Lorg/apache/maven/model/path/DefaultModelPathTranslator;","4","1","4"
"172","org.apache.maven.model.building.DefaultModelBuilderFactory.newPluginManagementInjector ()Lorg/apache/maven/model/management/PluginManagementInjector;","1767","1","575"
"173","org.apache.maven.model.management.DefaultPluginManagementInjector.<init> ()V","1192","1","1176"
"174","org.apache.maven.model.management.DefaultPluginManagementInjector$ManagementModelMerger.<init> ()V","16","1","7"
"175","org.apache.maven.model.building.DefaultModelBuilderFactory.newModelUrlNormalizer ()Lorg/apache/maven/model/path/ModelUrlNormalizer;","1536","1","851"
"176","org.apache.maven.model.path.DefaultModelUrlNormalizer.<init> ()V","10","1","10"
"177","org.apache.maven.model.path.DefaultModelUrlNormalizer.setUrlNormalizer (Lorg/apache/maven/model/path/UrlNormalizer;)Lorg/apache/maven/model/path/DefaultModelUrlNormalizer;","3","1","3"
"178","org.apache.maven.model.building.DefaultModelBuilderFactory.newDependencyManagementInjector ()Lorg/apache/maven/model/management/DependencyManagementInjector;","1477","1","605"
"179","org.apache.maven.model.management.DefaultDependencyManagementInjector.<init> ()V","872","1","859"
"180","org.apache.maven.model.management.DefaultDependencyManagementInjector$ManagementModelMerger.<init> ()V","13","1","7"
"181","org.apache.maven.model.building.DefaultModelBuilderFactory.newSuperPomProvider ()Lorg/apache/maven/model/superpom/SuperPomProvider;","959","1","933"
"182","org.apache.maven.model.superpom.DefaultSuperPomProvider.<init> ()V","10","1","10"
"183","org.apache.maven.model.superpom.DefaultSuperPomProvider.setModelProcessor (Lorg/apache/maven/model/building/ModelProcessor;)Lorg/apache/maven/model/superpom/DefaultSuperPomProvider;","3","1","3"
"184","org.apache.maven.model.building.DefaultModelBuilderFactory.newDependencyManagementImporter ()Lorg/apache/maven/model/composition/DependencyManagementImporter;","900","1","891"
"185","org.apache.maven.model.composition.DefaultDependencyManagementImporter.<init> ()V","9","1","9"
"186","org.apache.maven.model.building.DefaultModelBuilderFactory.newPluginConfigurationExpander ()Lorg/apache/maven/model/plugin/PluginConfigurationExpander;","808","1","798"
"187","org.apache.maven.model.plugin.DefaultPluginConfigurationExpander.<init> ()V","10","1","10"
"188","org.apache.maven.model.building.DefaultModelBuilderFactory.newReportConfigurationExpander ()Lorg/apache/maven/model/plugin/ReportConfigurationExpander;","710","1","699"
"189","org.apache.maven.model.plugin.DefaultReportConfigurationExpander.<init> ()V","11","1","11"
"190","org.apache.maven.model.building.DefaultModelBuilderFactory.newLifecycleBindingsInjector ()Lorg/apache/maven/model/plugin/LifecycleBindingsInjector;","580","1","564"
"191","org.apache.maven.model.building.DefaultModelBuilderFactory$StubLifecycleBindingsInjector.<init> (Lorg/apache/maven/model/building/DefaultModelBuilderFactory$1;)V","16","1","10"
"192","org.apache.maven.model.building.DefaultModelBuilderFactory$StubLifecycleBindingsInjector.<init> ()V","6","1","6"
"193","org.apache.maven.model.building.DefaultModelBuilder.setModelNormalizer (Lorg/apache/maven/model/normalization/ModelNormalizer;)Lorg/apache/maven/model/building/DefaultModelBuilder;","18","1","18"
"194","org.apache.maven.model.building.DefaultModelBuilder.<init> ()V","12","1","12"
"195","org.apache.maven.model.building.DefaultModelBuilder.setInheritanceAssembler (Lorg/apache/maven/model/inheritance/InheritanceAssembler;)Lorg/apache/maven/model/building/DefaultModelBuilder;","4","1","4"
"196","org.apache.maven.model.building.DefaultModelBuilder.setLifecycleBindingsInjector (Lorg/apache/maven/model/plugin/LifecycleBindingsInjector;)Lorg/apache/maven/model/building/DefaultModelBuilder;","4","1","4"
"197","org.apache.maven.model.building.DefaultModelBuilder.setModelProcessor (Lorg/apache/maven/model/building/ModelProcessor;)Lorg/apache/maven/model/building/DefaultModelBuilder;","4","1","4"
"198","org.apache.maven.model.building.DefaultModelBuilder.setPluginConfigurationExpander (Lorg/apache/maven/model/plugin/PluginConfigurationExpander;)Lorg/apache/maven/model/building/DefaultModelBuilder;","4","1","4"
"199","org.apache.maven.model.building.DefaultModelBuilder.setPluginManagementInjector (Lorg/apache/maven/model/management/PluginManagementInjector;)Lorg/apache/maven/model/building/DefaultModelBuilder;","4","1","4"
"200","org.apache.maven.model.building.DefaultModelBuilder.setProfileInjector (Lorg/apache/maven/model/profile/ProfileInjector;)Lorg/apache/maven/model/building/DefaultModelBuilder;","4","1","4"
"201","org.apache.maven.model.building.DefaultModelBuilder.setReportConfigurationExpander (Lorg/apache/maven/model/plugin/ReportConfigurationExpander;)Lorg/apache/maven/model/building/DefaultModelBuilder;","4","1","4"
"202","org.apache.maven.model.building.DefaultModelBuilder.setReportingConverter (Lorg/apache/maven/model/plugin/ReportingConverter;)Lorg/apache/maven/model/building/DefaultModelBuilder;","4","1","4"
"203","org.apache.maven.model.building.DefaultModelBuilder.setDependencyManagementImporter (Lorg/apache/maven/model/composition/DependencyManagementImporter;)Lorg/apache/maven/model/building/DefaultModelBuilder;","3","1","3"
"204","org.apache.maven.model.building.DefaultModelBuilder.setModelInterpolator (Lorg/apache/maven/model/interpolation/ModelInterpolator;)Lorg/apache/maven/model/building/DefaultModelBuilder;","3","1","3"
"205","org.apache.maven.model.building.DefaultModelBuilder.setProfileSelector (Lorg/apache/maven/model/profile/ProfileSelector;)Lorg/apache/maven/model/building/DefaultModelBuilder;","3","1","3"
"206","org.apache.maven.model.building.DefaultModelBuilder.setSuperPomProvider (Lorg/apache/maven/model/superpom/SuperPomProvider;)Lorg/apache/maven/model/building/DefaultModelBuilder;","3","1","3"
"207","org.apache.maven.model.building.DefaultModelBuilder.setDependencyManagementInjector (Lorg/apache/maven/model/management/DependencyManagementInjector;)Lorg/apache/maven/model/building/DefaultModelBuilder;","2","1","2"
"208","org.apache.maven.model.building.DefaultModelBuilder.setModelPathTranslator (Lorg/apache/maven/model/path/ModelPathTranslator;)Lorg/apache/maven/model/building/DefaultModelBuilder;","2","1","2"
"209","org.apache.maven.model.building.DefaultModelBuilder.setModelUrlNormalizer (Lorg/apache/maven/model/path/ModelUrlNormalizer;)Lorg/apache/maven/model/building/DefaultModelBuilder;","2","1","2"
"210","org.apache.maven.model.building.DefaultModelBuilder.setModelValidator (Lorg/apache/maven/model/validation/ModelValidator;)Lorg/apache/maven/model/building/DefaultModelBuilder;","2","1","2"
"211","org.apache.maven.repository.internal.DefaultArtifactDescriptorReader.setArtifactResolver (Lorg/eclipse/aether/impl/ArtifactResolver;)Lorg/apache/maven/repository/internal/DefaultArtifactDescriptorReader;","25","1","22"
"212","java.util.Objects.requireNonNull (Ljava/lang/Object;Ljava/lang/String;)Ljava/lang/Object;","32","6","32"
"213","org.apache.maven.repository.internal.DefaultArtifactDescriptorReader.setRemoteRepositoryManager (Lorg/eclipse/aether/impl/RemoteRepositoryManager;)Lorg/apache/maven/repository/internal/DefaultArtifactDescriptorReader;","18","1","10"
"214","org.apache.maven.model.building.DefaultModelBuilderFactory.<init> ()V","14","1","14"
"215","org.apache.maven.repository.internal.DefaultArtifactDescriptorReader.setModelBuilder (Lorg/apache/maven/model/building/ModelBuilder;)Lorg/apache/maven/repository/internal/DefaultArtifactDescriptorReader;","5","1","5"
"216","org.apache.maven.repository.internal.DefaultArtifactDescriptorReader.setVersionResolver (Lorg/eclipse/aether/impl/VersionResolver;)Lorg/apache/maven/repository/internal/DefaultArtifactDescriptorReader;","5","1","4"
"217","org.apache.maven.repository.internal.DefaultArtifactDescriptorReader.setVersionRangeResolver (Lorg/eclipse/aether/impl/VersionRangeResolver;)Lorg/apache/maven/repository/internal/DefaultArtifactDescriptorReader;","4","1","4"
"218","org.apache.maven.repository.internal.DefaultArtifactDescriptorReader.setRepositoryEventDispatcher (Lorg/eclipse/aether/impl/RepositoryEventDispatcher;)Lorg/apache/maven/repository/internal/DefaultArtifactDescriptorReader;","3","1","3"
"219","org.apache.maven.repository.internal.DefaultVersionResolver.initService (Lorg/eclipse/aether/spi/locator/ServiceLocator;)V","3605","1","28"
"220","org.slf4j.LoggerFactory.getLogger (Ljava/lang/Class;)Lorg/slf4j/Logger;","3164","9","32"
"221","org.apache.maven.repository.internal.DefaultVersionResolver.setMetadataResolver (Lorg/eclipse/aether/impl/MetadataResolver;)Lorg/apache/maven/repository/internal/DefaultVersionResolver;","23","1","10"
"222","org.apache.maven.repository.internal.DefaultVersionResolver.setSyncContextFactory (Lorg/eclipse/aether/impl/SyncContextFactory;)Lorg/apache/maven/repository/internal/DefaultVersionResolver;","6","1","6"
"223","org.apache.maven.repository.internal.DefaultVersionResolver.setRepositoryEventDispatcher (Lorg/eclipse/aether/impl/RepositoryEventDispatcher;)Lorg/apache/maven/repository/internal/DefaultVersionResolver;","5","1","5"
"224","org.apache.maven.repository.internal.DefaultVersionRangeResolver.initService (Lorg/eclipse/aether/spi/locator/ServiceLocator;)V","62","1","18"
"225","org.apache.maven.repository.internal.DefaultVersionRangeResolver.setMetadataResolver (Lorg/eclipse/aether/impl/MetadataResolver;)Lorg/apache/maven/repository/internal/DefaultVersionRangeResolver;","14","1","8"
