"Number","Method","Time","Count","SelfTime"
"188","org.apache.maven.project.ProjectSorter.getDependents (Ljava/lang/String;)Ljava/util/List;","82","16","8"
"189","org.codehaus.plexus.util.dag.DAG.getParentLabels (Ljava/lang/String;)Ljava/util/List;","74","16","74"
"190","java.util.Set.add (Ljava/lang/Object;)Z","1156","136","595"
"191","java.util.Objects.requireNonNull (Ljava/lang/Object;Ljava/lang/String;)Ljava/lang/Object;","29","6","29"
"192","java.util.HashSet.<init> ()V","171","52","171"
"193","java.util.List.get (I)Ljava/lang/Object;","315","91","315"
"194","org.apache.maven.project.MavenProject.equals (Ljava/lang/Object;)Z","95","56","62"
"195","org.apache.maven.toolchain.DefaultToolchainManagerPrivateTest.testToolchainsForAvailableType ()V","31287","1","37"
"196","org.apache.maven.toolchain.ToolchainPrivate$MockitoMock$1538487338.<clinit> ()V","98","1","33"
"197","org.apache.maven.toolchain.ToolchainPrivate$MockitoMock$1538487338.setMockitoInterceptor (Lorg/mockito/internal/creation/bytebuddy/MockMethodInterceptor;)V","5","5","5"
"198","org.codehaus.plexus.logging.Logger.error (Ljava/lang/String;)V","10977","6","10977"
"199","org.mockito.Mockito.verify (Ljava/lang/Object;Lorg/mockito/verification/VerificationMode;)Ljava/lang/Object;","2750","2","2750"
"200","org.mockito.Mockito.never ()Lorg/mockito/verification/VerificationMode;","1709","2","1709"
"201","org.mockito.ArgumentMatchers.anyString ()Ljava/lang/String;","895","2","895"
"202","org.apache.maven.toolchain.ToolchainFactory$MockitoMock$175501242.equals (Ljava/lang/Object;)Z","8","3","2"
"203","org.apache.maven.artifact.handler.ArtifactHandlerTest.testAptConsistency ()V","29017","1","19220"
"204","org.codehaus.plexus.util.FileUtils.loadFile (Ljava/io/File;)Ljava/util/List;","7877","1","7877"
"205","java.lang.String.split (Ljava/lang/String;)[Ljava/lang/String;","1764","2","1764"
"206","java.lang.String.trim ()Ljava/lang/String;","160","121","160"
"207","org.apache.maven.artifact.handler.ArtifactHandlerTest.trimApt (Ljava/lang/String;)Ljava/lang/String;","43","7","17"
"208","java.lang.String.length ()I","133","196","133"
"209","org.apache.maven.artifact.handler.ArtifactHandlerTest.trimApt (Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;","27","2","5"
"210","java.lang.String.equals (Ljava/lang/Object;)Z","350","297","350"
"211","org.apache.maven.lifecycle.internal.builder.multithreaded.ThreadOutputMuxerTest.testMultiThreaded ()V","28837","1","1758"
"212","java.util.concurrent.Executors.newFixedThreadPool (I)Ljava/util/concurrent/ExecutorService;","21902","1","21902"
"213","java.util.concurrent.CompletionService.submit (Ljava/util/concurrent/Callable;)Ljava/util/concurrent/Future;","2140","6","2140"
"214","java.util.concurrent.Future.get ()Ljava/lang/Object;","1247","6","1247"
"215","org.apache.maven.lifecycle.internal.builder.multithreaded.ThreadOutputMuxer.close ()V","860","2","24"
"216","org.apache.maven.lifecycle.internal.builder.multithreaded.ThreadOutputMuxer$ConsolePrinter.waitUntilRunning (Z)V","1179","4","714"
"217","java.lang.Thread.sleep (J)V","465","69","465"
"218","java.lang.System.setOut (Ljava/io/PrintStream;)V","53","4","53"
"219","org.apache.maven.lifecycle.internal.builder.multithreaded.ThreadOutputMuxer.<init> (Lorg/apache/maven/lifecycle/internal/ProjectBuildList;Ljava/io/PrintStream;)V","6444","2","4422"
"220","java.io.PrintStream.<init> (Ljava/io/OutputStream;)V","518","15","518"
"221","java.lang.Thread.start ()V","665","3","665"
"222","java.lang.Thread.<init> (Ljava/lang/Runnable;)V","464","3","464"
